Material 1,Material 2,Step in ratio,Angle,Polarization value,Polarization range,Color value,Color range
,,0.1,10,0.5,0.1,0.45,0.1
,,,,,,,
,,fraction of material 1,fraction of material 2,size of material 1,size of material 2,polarization value,color value
Halley+ice_0.90_volume,ice+void_porosity_0.50,0.1,0.9,2.939965,0.148184,0.424407,0.399049
Halley+ice_0.90_volume,ice+void_porosity_0.50,0.2,0.8,2.939965,0.255104,0.482712,0.37946
Halley+ice_0.90_volume,ice+void_porosity_0.50,0.2,0.8,2.939965,0.334716,0.476255,0.363488
Halley+ice_0.90_volume,ice+void_porosity_0.55,0.1,0.9,0.112939,0.148184,0.573137,0.369686
Halley+ice_0.90_volume,ice+void_porosity_0.55,0.1,0.9,0.576226,0.148184,0.458394,0.388638
Halley+ice_0.90_volume,ice+void_porosity_0.55,0.1,0.9,2.939965,0.148184,0.42107,0.412363
Halley+ice_0.90_volume,ice+void_porosity_0.55,0.2,0.8,2.939965,0.194428,0.406731,0.4003
Halley+ice_0.90_volume,ice+void_porosity_0.55,0.2,0.8,2.939965,0.255104,0.492856,0.384931
Halley+ice_0.90_volume,ice+void_porosity_0.55,0.2,0.8,2.939965,0.334716,0.465155,0.364391
Halley+ice_0.90_volume,ice+void_porosity_0.90,0.1,0.9,0.112939,0.148184,0.573137,0.35505
Halley+ice_0.90_volume,ice+void_porosity_0.90,0.1,0.9,0.576226,0.148184,0.458394,0.374986
Halley+ice_0.90_volume,ice+void_porosity_0.90,0.1,0.9,2.939965,0.148184,0.42107,0.40003
Halley+ice_0.90_volume,ice+void_porosity_0.90,0.2,0.8,2.939965,0.194428,0.406731,0.395006
Halley+ice_0.90_volume,ice+void_porosity_0.90,0.2,0.8,2.939965,0.255104,0.492856,0.387356
Halley+ice_0.90_volume,ice+void_porosity_0.90,0.2,0.8,2.939965,0.334716,0.465155,0.370406
Halley+ice_0.90_volume,Organic,0.1,0.9,0.112939,0.148184,0.45738,0.396452
Halley+ice_0.90_volume,Organic,0.1,0.9,0.756051,0.148184,0.529089,0.358724
Halley+ice_0.90_volume,Organic,0.2,0.8,2.939965,0.255104,0.414099,0.366656
Halley+ice_0.90_volume,Organic,0.2,0.8,2.939965,0.334716,0.406513,0.361982
Halley+ice_0.90_volume,Silicate,0.2,0.8,2.939965,0.255104,0.414099,0.370387
Halley+ice_0.90_volume,Silicate,0.2,0.8,2.939965,0.334716,0.406513,0.363503
Halley+ice_0.90_volume,Titan_tholin,0.1,0.9,0.112939,0.148184,0.519364,0.358512
Halley+ice_0.90_volume,Titan_tholin,0.1,0.9,0.576226,0.148184,0.41675,0.377319
Halley+ice_0.90_volume,Titan_tholin,0.2,0.8,2.939965,0.255104,0.43761,0.370138
Ice,Ice_tholin,0.1,0.9,0.112939,0.148184,0.488849,0.376806
Ice,ice+void_porosity_0.40,0.1,0.9,0.112939,0.148184,0.574345,0.353657
